Stock code,Company
ZOMATO,Zomato
PNB,Punjab National Bank
HDFCBANK,HDFC Bank
SBIN,State Bank of India
ITC,ITC
BEL,Bharat Electronics
JIOFIN,Reliance Jio Infocomm
IOC,Indian Oil Corporation
BANKBARODA,Bank of Baroda
TATASTEEL,Tata Steel
TATAPOWER,Tata Power
HDFCLIFE,HDFC Life
ICICIBANK,ICICI Bank
IRFC,Indian Railway Finance Corporation
GAIL,GAIL (India) Ltd
LT,Larsen & Toubro
TATAMOTORS,Tata Motors
ADANIPOWER,Adani Power
ONGC,Oil and Natural Gas Corporation
PFC,Power Finance Corporation
COALINDIA,Coal India
MOTHERSON,Motherson Sumi Systems
POWERGRID,Power Grid Corporation of India
CANBK,Canara Bank
MARICO,Marico
NTPC,NTPC Limited
ICICIGI,ICICI Lombard General Insurance
HCLTECH,HCL Technologies
RECLTD,Rural Electrification Corporation
BPCL,Bharat Petroleum Corporation Limited
HINDALCO,Hindalco Industries
INFY,Infosys
DABUR,Dabur India
VEDL,Vedanta Limited
KOTAKBANK,Kotak Mahindra Bank
RELIANCE,Reliance Industries
AXISBANK,Axis Bank
BHARTIARTL,Bharti Airtel
M&M,Mahindra & Mahindra
INDUSINDBK,IndusInd Bank
WIPRO,Wipro Limited
ASIANPAINT,Asian Paints
TECHM,Tech Mahindra
AMBUJACEM,Ambuja Cements
TATAMTRDVR,Tata Motors (DVR)
DLF,DLF Limited
SBILIFE,SBI Life Insurance Company
TITAN,Titan Company
ADANIPORTS,Adani Ports and Special Economic Zone
JSWSTEEL,JSW Steel Ltd
VBL,Varun Beverages
BERGEPAINT,Berger Paints India
HEROMOTOCO,Hero MotoCorp
TATACONSUM,Tata Consumer Products
LICI,Life Insurance Corporation of India
IRCTC,Indian Railway Catering and Tourism Corporation
HAVELLS,Havells India Ltd
TVSMOTOR,TVS Motor Company
HINDUNILVR,Hindustan Unilever
HAL,Hindustan Aeronautics Ltd
BAJFINANCE,Bajaj Finance Limited
TCS,Tata Consultancy Services
SUNPHARMA,Sun Pharmaceutical Industries
BAJAJFINSV,Bajaj Finserv
CHOLAFIN,Cholamandalam Investment and Finance Company
ZYDUSLIFE,Zydus Wellness Ltd
CIPLA,Cipla Ltd
GODREJCP,Godrej Consumer Products
ADANIENT,Adani Enterprises
SRF,SRF Limited
ICICIPRULI,ICICI Prudential Life Insurance
LTIM,Larsen & Toubro Infotech
DMART,Avenue Supermarts Ltd
ADANIENSOL,Adani Green Energy
APOLLOHOSP,Apollo Hospitals
JINDALSTEL,Jindal Steel & Power
EICHERMOT,Eicher Motors Limited
SHRIRAMFIN,Shriram Transport Finance Company
INDIGO,InterGlobe Aviation Ltd
TRENT,Trent Limited
ATGL,Adani Total Gas Ltd
NESTLEIND,Nestle India Limited
DIVISLAB,Divi's Laboratories
ADANIGREEN,Adani Green Energy Limited
SBICARD,SBI Cards and Payment Services
PIDILITIND,Pidilite Industries
GRASIM,Grasim Industries Ltd
DRREDDY,Dr. Reddy's Laboratories
BAJAJ-AUTO,Bajaj Auto Ltd
MARUTI,Maruti Suzuki India Ltd
SIEMENS,Siemens Ltd
ULTRACEMCO,UltraTech Cement Ltd
BRITANNIA,Britannia Industries Ltd
MCDOWELL-N,United Spirits Ltd
ABB,ABB India Ltd
COLPAL,Colgate-Palmolive (India) Ltd
NAUKRI,Info Edge (India) Ltd
TORNTPHARM,Torrent Pharmaceuticals Ltd
BAJAJHLDNG,Bajaj Holdings & Investment Ltd
SHREECEM,Shree Cement Ltd
BOSCHLTD,Bosch Ltd
